State,Year,Quarter,Entity_level,Entity_Name,Transaction_Count,Transaction_Amount
uttar-pradesh,2019,2,districts,ghaziabad,4679159,6368927863.001434
uttar-pradesh,2019,2,districts,kanpur nagar,2572884,4421750497.07041
uttar-pradesh,2019,2,districts,prayagraj,2300600,3610973840.451373
uttar-pradesh,2019,2,districts,varanasi,2098693,3382380917.5993013
uttar-pradesh,2019,2,districts,gorakhpur,1168931,2516446619.5934477
uttar-pradesh,2019,2,districts,meerut,1123899,2212165528.988115
uttar-pradesh,2019,2,districts,agra,1094456,2048417269.8861732
uttar-pradesh,2019,2,districts,bareilly,893059,1444372593.85735
uttar-pradesh,2019,2,pincodes,226004,8966947,16438621373.818607
uttar-pradesh,2019,2,pincodes,201301,3632838,3857716253.464631
uttar-pradesh,2019,2,pincodes,201307,1041792,1111655670.8598578
uttar-pradesh,2019,2,pincodes,201308,1040098,952636804.9072895
uttar-pradesh,2019,2,pincodes,208001,990727,1850053188.7010975
uttar-pradesh,2019,2,pincodes,211002,793974,1175239275.0226789
uttar-pradesh,2019,2,pincodes,201303,760647,802473047.9832803
uttar-pradesh,2019,2,pincodes,201009,736002,963720736.3791001
uttar-pradesh,2019,2,pincodes,201304,722680,821249578.481452
uttar-pradesh,2019,2,pincodes,201014,642296,778338860.9675133
uttar-pradesh,2019,3,districts,gautam buddha nagar,13014875,14118512957.85155
uttar-pradesh,2019,3,districts,lucknow,11708246,24465158674.6613
uttar-pradesh,2019,3,districts,ghaziabad,6466390,8384891301.42561
uttar-pradesh,2019,3,districts,kanpur nagar,3032525,5151875480.314058
uttar-pradesh,2019,3,districts,prayagraj,2766837,4091292783.6421504
uttar-pradesh,2019,3,districts,varanasi,2441735,3772442225.290722
uttar-pradesh,2019,3,districts,agra,1678565,2589010631.0242796
uttar-pradesh,2019,3,districts,meerut,1429176,2615800654.5366073
uttar-pradesh,2019,3,districts,gorakhpur,1301866,2600290226.3257475
uttar-pradesh,2019,3,districts,bareilly,1164660,1630271295.8342814
uttar-pradesh,2019,3,pincodes,226004,6687157,17110382946.6282
uttar-pradesh,2019,3,pincodes,201301,4798433,4992797291.832095
uttar-pradesh,2019,3,pincodes,201307,1517920,1501556495.9285545
uttar-pradesh,2019,3,pincodes,201308,1273377,1233861005.4703152
uttar-pradesh,2019,3,pincodes,201303,1078332,1070118111.8331378
uttar-pradesh,2019,3,pincodes,201009,993499,1262039254.2371387
uttar-pradesh,2019,3,pincodes,201304,991140,1097530067.7508283
uttar-pradesh,2019,3,pincodes,201014,940093,1041446940.6122824
uttar-pradesh,2019,3,pincodes,211002,849738,1357190393.8906558
uttar-pradesh,2019,3,pincodes,208001,846654,2013119811.1164007
uttar-pradesh,2019,1,districts,gautam buddha nagar,10750094,10286434896.5461
uttar-pradesh,2019,1,districts,lucknow,6724967,10007890617.082235
uttar-pradesh,2019,1,districts,ghaziabad,4604564,5631770850.217073
uttar-pradesh,2019,1,districts,prayagraj,2524007,3328073518.103963
uttar-pradesh,2019,1,districts,varanasi,2290282,2681050295.126403
uttar-pradesh,2019,1,districts,kanpur nagar,2045370,2882041800.6601443
uttar-pradesh,2019,1,districts,gorakhpur,1266510,2149018597.784897
uttar-pradesh,2019,1,districts,bareilly,1150731,1325492844.7851303
uttar-pradesh,2019,1,districts,meerut,1120213,1863635814.486101
uttar-pradesh,2019,1,districts,agra,1055850,1798577433.7026842
uttar-pradesh,2019,1,pincodes,201301,4596696,4223121104.413077
uttar-pradesh,2019,1,pincodes,226004,2988999,4521167316.752953
uttar-pradesh,2019,1,pincodes,201307,995263,967125877.3786304
uttar-pradesh,2019,1,pincodes,201308,940906,816865460.7639456
uttar-pradesh,2019,1,pincodes,201304,763989,738479434.1212442
uttar-pradesh,2019,1,pincodes,211002,750868,842505341.9019947
uttar-pradesh,2019,1,pincodes,201306,743462,665922050.9083495
uttar-pradesh,2019,1,pincodes,201303,702940,679180072.1493174
uttar-pradesh,2019,1,pincodes,201009,674047,801707823.3511343
uttar-pradesh,2019,1,pincodes,201014,603950,682482312.1640904
uttar-pradesh,2019,4,districts,gautam buddha nagar,16003102,17701548866.812836
uttar-pradesh,2019,4,districts,lucknow,14205324,30191564282.331238
uttar-pradesh,2019,4,districts,ghaziabad,7615506,10609113377.795418
uttar-pradesh,2019,4,districts,varanasi,4217796,5004637433.780641
uttar-pradesh,2019,4,districts,kanpur nagar,3438636,6283713197.57716
uttar-pradesh,2019,4,districts,prayagraj,3400115,5161631925.304864
uttar-pradesh,2019,4,districts,agra,1992945,3485238496.7261944
uttar-pradesh,2019,4,districts,meerut,1820166,3435708382.415326
uttar-pradesh,2019,4,districts,gorakhpur,1669194,3445111045.80023
uttar-pradesh,2019,4,districts,bareilly,1342436,2179671438.615908
uttar-pradesh,2019,4,pincodes,226004,8588482,21494958633.324272
uttar-pradesh,2019,4,pincodes,201301,5805708,6194769074.369754
uttar-pradesh,2019,4,pincodes,201307,1782991,1865553928.0043442
uttar-pradesh,2019,4,pincodes,201308,1702665,1534651285.6518054
uttar-pradesh,2019,4,pincodes,201303,1230731,1301166490.4265368
uttar-pradesh,2019,4,pincodes,201304,1189081,1373926601.0065424
uttar-pradesh,2019,4,pincodes,201009,1186803,1604582922.0953102
uttar-pradesh,2019,4,pincodes,221007,1179731,1503521729.008887
uttar-pradesh,2019,4,pincodes,201014,1096184,1259501777.7375505
uttar-pradesh,2019,4,pincodes,201306,1066975,1140977200.7128494
uttar-pradesh,2022,2,districts,lucknow,102123625,164056107244.2309
uttar-pradesh,2022,2,districts,gautam buddha nagar,74160647,87828388050.506
uttar-pradesh,2022,2,districts,ghaziabad,37739024,59183436240.67706
uttar-pradesh,2022,2,districts,meerut,22419976,38399767082.406334
uttar-pradesh,2022,2,districts,prayagraj,20833684,34267771491.719467
uttar-pradesh,2022,2,districts,kanpur nagar,18142630,32679093848.494316
uttar-pradesh,2022,2,districts,agra,17306092,31826611654.86806
uttar-pradesh,2022,2,districts,varanasi,16290241,29105585945.91128
uttar-pradesh,2022,2,districts,gorakhpur,14066992,28691435244.931892
uttar-pradesh,2022,2,districts,aligarh,11491914,20498359414.78222
uttar-pradesh,2022,2,pincodes,226004,69083808,115329604877.16333
uttar-pradesh,2022,2,pincodes,201301,23997095,29375497406.520893
uttar-pradesh,2022,2,pincodes,250001,13183697,21216819553.774345
uttar-pradesh,2022,2,pincodes,201307,7569347,8218510660.631851
uttar-pradesh,2022,2,pincodes,201318,7160121,9477752466.092012
uttar-pradesh,2022,2,pincodes,201009,6417120,9058665494.363823
uttar-pradesh,2022,2,pincodes,201308,5838704,6577636191.091028
uttar-pradesh,2022,2,pincodes,201102,5568850,9696475683.571627
uttar-pradesh,2022,2,pincodes,201304,5353515,6025857678.4076605
uttar-pradesh,2022,2,pincodes,201306,5039932,5121347604.797944
uttar-pradesh,2022,3,districts,lucknow,103532277,150291038432.73062
uttar-pradesh,2022,3,districts,gautam buddha nagar,87799548,100238159351.64151
uttar-pradesh,2022,3,districts,varanasi,42895237,64967816692.82996
uttar-pradesh,2022,3,districts,ghaziabad,41898334,62804603270.37625
uttar-pradesh,2022,3,districts,agra,26751663,43128786478.760445
uttar-pradesh,2022,3,districts,kanpur nagar,26593070,42855018051.76041
uttar-pradesh,2022,3,districts,meerut,25631216,40328370458.53699
uttar-pradesh,2022,3,districts,prayagraj,21085656,30385713265.50251
uttar-pradesh,2022,3,districts,moradabad,15532268,26474629769.408638
uttar-pradesh,2022,3,districts,aligarh,14106419,22685286303.74517
uttar-pradesh,2022,3,pincodes,226020,63023875,91465754907.13475
uttar-pradesh,2022,3,pincodes,201301,34816192,40251728597.48327
uttar-pradesh,2022,3,pincodes,221010,29209442,42384932202.76035
uttar-pradesh,2022,3,pincodes,250001,15842078,23280765327.41795
uttar-pradesh,2022,3,pincodes,208002,12318362,18094810297.75654
uttar-pradesh,2022,3,pincodes,244001,10865123,17123643114.00892
uttar-pradesh,2022,3,pincodes,282003,10813347,15667259751.67314
uttar-pradesh,2022,3,pincodes,226004,8600161,13870057037.60291
uttar-pradesh,2022,3,pincodes,201307,7909747,8347080350.370436
uttar-pradesh,2022,3,pincodes,201318,7606075,9685236073.93831
uttar-pradesh,2022,1,districts,lucknow,79740953,132456458141.91397
uttar-pradesh,2022,1,districts,gautam buddha nagar,58229149,74371363420.47153
uttar-pradesh,2022,1,districts,ghaziabad,30948888,50571013176.64976
uttar-pradesh,2022,1,districts,meerut,17966278,32377627599.030327
uttar-pradesh,2022,1,districts,prayagraj,16566417,28293055160.255882
uttar-pradesh,2022,1,districts,kanpur nagar,14902263,27612832763.662384
uttar-pradesh,2022,1,districts,agra,14010919,26233858697.697464
uttar-pradesh,2022,1,districts,varanasi,13246317,24155800509.84869
uttar-pradesh,2022,1,districts,gorakhpur,10758812,22861881939.64662
uttar-pradesh,2022,1,districts,aligarh,9297702,17226202534.103092
uttar-pradesh,2022,1,pincodes,226004,52902770,91187788842.3486
uttar-pradesh,2022,1,pincodes,201301,19346053,25597616522.579697
uttar-pradesh,2022,1,pincodes,250001,10515641,17803919099.629593
uttar-pradesh,2022,1,pincodes,201307,5880421,6890114375.000891
uttar-pradesh,2022,1,pincodes,201318,5596873,7902989227.013297
uttar-pradesh,2022,1,pincodes,201009,5241638,7700103807.717194
uttar-pradesh,2022,1,pincodes,201102,4774119,8400619969.323137
uttar-pradesh,2022,1,pincodes,201308,4453303,5374686911.060018
uttar-pradesh,2022,1,pincodes,201304,4208815,5002058162.368197
uttar-pradesh,2022,1,pincodes,247001,4036667,8074784575.0359955
uttar-pradesh,2022,4,districts,lucknow,142292419,214139000063.1341
uttar-pradesh,2022,4,districts,gautam buddha nagar,90864471,104162479492.51544
uttar-pradesh,2022,4,districts,ghaziabad,48195051,73333545352.23656
uttar-pradesh,2022,4,districts,varanasi,38410576,61679282505.82438
uttar-pradesh,2022,4,districts,kanpur nagar,34663083,57423578589.05292
uttar-pradesh,2022,4,districts,meerut,30761564,49044446642.880615
uttar-pradesh,2022,4,districts,agra,27454413,46946394676.79358
uttar-pradesh,2022,4,districts,prayagraj,27038499,40737923540.02559
uttar-pradesh,2022,4,districts,bijnor,19251587,30994615217.1439
uttar-pradesh,2022,4,districts,aligarh,18387697,30529612967.374783
uttar-pradesh,2022,4,pincodes,226020,105929627,163113420102.871
uttar-pradesh,2022,4,pincodes,201301,33671921,38768881713.772354
uttar-pradesh,2022,4,pincodes,221010,23309322,35511764837.56974
uttar-pradesh,2022,4,pincodes,250001,19063494,28215789223.782074
uttar-pradesh,2022,4,pincodes,208002,18894357,29515335887.416653
uttar-pradesh,2022,4,pincodes,201002,11232475,17146057743.224823
uttar-pradesh,2022,4,pincodes,246701,11100036,15809205716.361408
uttar-pradesh,2022,4,pincodes,211002,11028668,14680070032.600485
uttar-pradesh,2022,4,pincodes,282003,9909363,15539150065.180435
uttar-pradesh,2022,4,pincodes,202001,9488487,15746829112.881413
uttar-pradesh,2021,2,districts,lucknow,41241215,78447443137.55057
uttar-pradesh,2021,2,districts,gautam buddha nagar,29169349,37072547539.88541
uttar-pradesh,2021,2,districts,ghaziabad,16797842,27766534443.259594
uttar-pradesh,2021,2,districts,meerut,8599202,16511763499.94571
uttar-pradesh,2021,2,districts,prayagraj,8039353,15903938690.169538
uttar-pradesh,2021,2,districts,kanpur nagar,7585841,14935346898.476763
uttar-pradesh,2021,2,districts,agra,6542679,12895519153.397434
uttar-pradesh,2021,2,districts,varanasi,6220925,12596441736.919134
uttar-pradesh,2021,2,districts,gorakhpur,5995988,13762240584.653461
uttar-pradesh,2021,2,districts,aligarh,4566809,9169523754.569004
